,"year","lroad id","counts","x","y","y","x","date of maps","time","date of earth 1","time","date of earth 2","time"
1,2010,105654,24787.41,641648.8,4850530,43.79427,-79.2393,20180812,1100,"Nan","Nan","Nan","Nan"
2,2010,1144030,48478.83,632690.1,4835329,43.65912,-79.3544,20170610,900,"Nan","Nan","Nan","Nan"
3,2010,1145202,5144.272,633277,4834412,43.65076,-79.3473,20170610,900,"Nan","Nan","Nan","Nan"
5,2010,1145768,55172.39,632352.1,4834151,43.64857,-79.3589,20170610,900,"Nan","Nan","Nan","Nan"
6,2010,1146181,9129.886,631658.1,4833849,43.64598,-79.3675,20170610,900,"Nan","Nan","Nan","Nan"
7,2010,1146200,45477.85,631499.9,4833825,43.6458,-79.3695,20170610,900,"Nan","Nan","Nan","Nan"
8,2010,1146843,39973.39,630485.3,4833267,43.64095,-79.3822,20170610,900,"Nan","Nan","Nan","Nan"
9,2010,1147010,61439.18,629879,4833042,43.63903,-79.3898,20170610,900,"Nan","Nan","Nan","Nan"
10,2010,1147078,75306.52,624489.8,4832915,43.63881,-79.4566,20180508,1000,"Nan","Nan","Nan","Nan"
11,2010,1147127,76798.82,628284.6,4832826,43.63736,-79.4096,20170610,900,"Nan","Nan","Nan","Nan"
12,2010,1147194,75304.18,623998.5,4832806,43.63792,-79.4627,20180508,1000,"Nan","Nan","Nan","Nan"
13,2010,1147201,20153.17,628981.7,4832695,43.63606,-79.401,20170610,900,"Nan","Nan","Nan","Nan"
14,2010,1147347,16115.87,625707.7,4832564,43.63545,-79.4416,20180508,1000,"Nan","Nan","Nan","Nan"
16,2010,1147466,24371.23,628283.3,4832362,43.63319,-79.4097,20170610,900,"Nan","Nan","Nan","Nan"
17,2010,1147489,73455.87,626651.9,4832251,43.63247,-79.43,20170610,900,"Nan","Nan","Nan","Nan"
18,2010,1147544,35313.42,626511,4832156,43.63164,-79.4317,20170610,900,"Nan","Nan","Nan","Nan"
19,2010,1147551,19869.31,626740.6,4832101,43.63111,-79.4289,20170610,900,"Nan","Nan","Nan","Nan"
22,2010,14073981,44244.76,630752.8,4833461,43.64265,-79.3788,20170610,900,"Nan","Nan","Nan","Nan"
23,2010,14134895,18681.33,630301.7,4833153,43.63996,-79.3845,20170610,900,"Nan","Nan","Nan","Nan"
25,2010,1821,5625.474,634212.6,4838404,43.68652,-79.3347,20170610,900,"Nan","Nan","Nan","Nan"
37,2010,440857,10425.31,631791.7,4845730,43.75289,-79.363,20170610,900,"Nan","Nan","Nan","Nan"
38,2010,440946,12705.1,632027.6,4845671,43.75232,-79.3601,20170610,900,"Nan","Nan","Nan","Nan"
39,2010,442292,8373.213,634437.6,4844517,43.7415,-79.3304,20170610,900,"Nan","Nan","Nan","Nan"
40,2010,442391,7206.662,634151.9,4844352,43.74006,-79.334,20170610,900,"Nan","Nan","Nan","Nan"
41,2010,443965,79963.72,634450.5,4843088,43.72863,-79.3306,20170610,900,"Nan","Nan","Nan","Nan"
42,2010,444782,66261.18,634545.9,4842243,43.72101,-79.3296,20170610,900,"Nan","Nan","Nan","Nan"
43,2010,445280,77717.01,634795.8,4841801,43.71699,-79.3267,20170610,900,"Nan","Nan","Nan","Nan"
44,2010,5866210,11306.4,630720.1,4833333,43.6415,-79.3793,20170610,900,"Nan","Nan","Nan","Nan"
45,2010,8396807,6502.647,632360.4,4834143,43.6485,-79.3588,20170610,900,"Nan","Nan","Nan","Nan"
46,2010,8492502,24371.21,627426.6,4832027,43.63032,-79.4204,20170610,900,"Nan","Nan","Nan","Nan"
47,2010,9212691,11686.68,632618.4,4834152,43.64854,-79.3556,20170610,900,"Nan","Nan","Nan","Nan"
1,2011,106898,15647.65,639496.9,4849224,43.78293,-79.2664,20180812,1100,"Nan","Nan","Nan","Nan"
1,2012,106898,16215.59,639496.9,4849224,43.78293,-79.2664,20180812,1100,20121025,1230,"Nan","Nan"
2,2012,1821,5574.492,634212.6,4838404,43.68652,-79.3347,20170610,900,20121025,1230,"Nan","Nan"
5,2012,440857,9662.987,631791.7,4845730,43.75289,-79.363,20170610,900,20121025,1230,"Nan","Nan"
2,2013,446012,17408.57,634198.3,4840928,43.70924,-79.3343,20170610,900,20130614,900,20131010,1030
3,2013,5849817,18916.93,625306.3,4847843,43.77303,-79.443,20180508,1000,20130918,1100,20131010,1100
